company,model_name,model_year,origin,mpg,cylinders,horsepower,weight,acceleration
AMC,HornetSportabout(sw),1970,US,21,6,90,2648,15
AMC,Matador,1970,US,18,6,90,2774,15.5
Buick,Century,1970,Europe,24,4,90,2430,14.5
Chevrolet,Malibu,1970,US,18,8,130,3504,12
Datsun,280ZX,1970,US,10,8,200,4376,15
Ford,Escort4W,1970,US,11,8,210,4382,13.5
Ford,Torino,1970,US,10,8,210,4615,14
Honda,Civic(auto),1970,US,21,6,80,2587,16
Mazda,GLC,1970,US,17,8,140,3449,10.5
Mazda,GLCCustom,1970,US,9,8,193,4732,18.5
Pontiac,PhoenixLJ,1970,Europe,25,4,80,2672,17.5
Toyota,Corolla,1970,US,18,8,150,3436,11
Volkswagen,Dasher(diesel),1970,Europe,25,4,90,2375,17.5
AMC,Hornet,1971,US,19,6,100,2634,13
AMC,RebelSST,1971,US,18,6,110,2962,13.5
Audi,5000,1971,US,18,6,100,3288,15.5
Chevrolet,Impala,1971,US,17,6,100,3329,15.5
Datsun,210,1971,US,22,4,70,2408,19
Datsun,810Maxima,1971,Japan,35,4,70,1613,18
Ford,Maverick,1971,Europe,30,4,70,2065,14.5
Honda,Civic1300,1971,US,18,6,80,3139,14.5
Honda,CivicCVCC,1971,US,25,4,50,2046,19
Mazda,GLC4,1971,US,19,6,80,3302,15.5
Plymouth,Horizon,1971,US,23,4,80,2220,14
Pontiac,Phoenix,1971,Europe,30,4,70,2074,19.5
Toyota,Corolla1200,1971,US,16,6,100,3439,15.5
Toyota,CorollaLiftback,1971,US,19,6,100,3282,15
Audi,5000s(diesel),1972,US,15,8,150,3892,12.5
Datsun,200SX,1972,US,20,4,90,2408,19.5
Honda,Prelude,1972,US,22,4,80,2395,16
Mazda,626,1972,US,21,4,80,2226,16.5
Peugeot,604sl,1972,Japan,19,3,90,2330,13.5
Plymouth,HorizonTC3,1972,US,11,8,210,4633,11
Saab,99e,1972,US,15,8,150,4135,13.5
Chevy,C20,1973,US,11,8,150,4997,14
Chrysler,LebaronSalon,1973,US,15,8,140,4082,13
Datsun,1200,1973,US,16,6,100,3278,18
Ford,Escort2H,1973,US,15,8,150,3777,12.5
Ford,F250,1973,US,15,8,150,3399,11
Pontiac,LemansV6,1973,Europe,24,4,70,2158,15.5
Toyota,CorollaMarkii,1973,US,16,8,230,4278,9.5
Volkswagen,Pickup,1973,Europe,24,4,110,2660,14
Chevrolet,MonteCarloLandau,1974,US,16,6,100,3781,17
Chrysler,LebaronTown@Country,1974,US,15,6,100,3336,17
